Tue Jan 30 15:47:44 GMT+01:00 2018	0	1	2	0	94	0	2	3
Tue Jan 30 16:16:22 GMT+01:00 2018	0	0	0	0	0	100	0	0
Tue Jan 30 16:16:22 GMT+01:00 2018	0	0	99	0	0	0	99	1
Tue Jan 30 16:16:34 GMT+01:00 2018	0	0	98	1	0	0	98	1
Tue Jan 30 16:17:16 GMT+01:00 2018	0	0	96	1	0	0	96	3
Tue Jan 30 17:12:43 GMT+01:00 2018	0	0	0	0	100	0	0	0
Tue Jan 30 17:13:55 GMT+01:00 2018	0	0	0	0	0	100	0	0
Tue Jan 30 17:13:55 GMT+01:00 2018	21	1	10	0	49	0	10	3
Tue Jan 30 17:15:11 GMT+01:00 2018	0	0	0	0	0	100	0	0
Tue Jan 30 17:15:11 GMT+01:00 2018	0	0	98	0	0	0	98	2
Tue Jan 30 17:29:54 GMT+01:00 2018	0	0	0	0	100	0	0	0
Tue Jan 30 17:35:25 GMT+01:00 2018	0	0	0	0	100	0	0	0
Tue Jan 30 18:02:54 GMT+01:00 2018	10	10	10	10	10	0	10	40
Tue Jan 30 18:03:26 GMT+01:00 2018	0	0	0	0	0	100	0	0
Tue Jan 30 18:03:26 GMT+01:00 2018	27	8	9	5	23	0	9	22
Tue Jan 30 18:04:24 GMT+01:00 2018	0	0	0	0	0	100	0	0
Tue Jan 30 18:04:24 GMT+01:00 2018	7	6	11	4	47	0	11	18
Tue Jan 30 18:23:07 GMT+01:00 2018	0	0	0	0	0	100	0	0
Tue Jan 30 18:23:07 GMT+01:00 2018	8	6	7	5	49	0	7	21
Tue Jan 30 18:24:07 GMT+01:00 2018	0	0	0	0	0	100	0	0
Tue Jan 30 18:24:07 GMT+01:00 2018	5	43	14	3	20	0	14	12
Tue Jan 30 18:25:07 GMT+01:00 2018	6	23	20	5	19	0	20	21
Tue Jan 30 18:25:54 GMT+01:00 2018	10	10	10	10	10	0	10	40
Tue Jan 30 18:26:26 GMT+01:00 2018	0	0	0	0	0	100	0	0
Tue Jan 30 18:26:26 GMT+01:00 2018	8	8	22	0	53	0	22	3
Tue Jan 30 18:27:25 GMT+01:00 2018	32	8	8	8	8	0	8	31
Tue Jan 30 18:28:25 GMT+01:00 2018	0	0	0	0	0	100	0	0
Tue Jan 30 18:28:26 GMT+01:00 2018	8	9	17	8	20	0	17	31
Tue Jan 30 18:29:30 GMT+01:00 2018	0	0	0	0	0	100	0	0
Tue Jan 30 18:29:30 GMT+01:00 2018	8	3	9	0	72	0	9	3
Tue Jan 30 18:31:01 GMT+01:00 2018	9	8	20	0	51	0	20	4
Tue Jan 30 18:32:02 GMT+01:00 2018	0	0	0	0	0	100	0	0
Tue Jan 30 18:32:02 GMT+01:00 2018	8	7	14	5	40	0	14	22
Tue Jan 30 18:33:09 GMT+01:00 2018	3	27	32	0	33	0	32	3
Tue Jan 30 18:34:11 GMT+01:00 2018	16	21	12	5	17	0	12	22
Tue Jan 30 18:35:15 GMT+01:00 2018	0	0	0	0	0	100	0	0
Tue Jan 30 18:35:15 GMT+01:00 2018	11	8	16	4	35	0	16	18
Tue Jan 30 18:36:15 GMT+01:00 2018	6	0	3	0	86	0	3	3
Tue Jan 30 18:37:23 GMT+01:00 2018	4	3	10	0	78	0	10	2
Tue Jan 30 18:38:27 GMT+01:00 2018	10	1	3	0	78	0	3	2
Tue Jan 30 18:40:23 GMT+01:00 2018	0	0	0	0	0	100	0	0
Tue Jan 30 18:40:23 GMT+01:00 2018	10	10	10	10	10	0	10	40
Tue Jan 30 18:41:31 GMT+01:00 2018	14	9	14	5	26	0	14	22
Tue Jan 30 18:42:32 GMT+01:00 2018	0	0	0	0	0	100	0	0
Tue Jan 30 18:42:32 GMT+01:00 2018	10	10	10	10	10	0	10	40
Tue Jan 30 18:43:55 GMT+01:00 2018	10	10	10	10	10	0	10	40
Tue Jan 30 19:17:53 GMT+01:00 2018	0	0	0	0	100	0	0	0
Tue Jan 30 19:52:29 GMT+01:00 2018	0	0	0	0	100	0	0	0
Tue Jan 30 19:53:26 GMT+01:00 2018	16	7	20	6	23	0	20	22
Tue Jan 30 20:25:10 GMT+01:00 2018	0	0	0	0	100	0	0	0
Tue Jan 30 20:25:11 GMT+01:00 2018	0	0	0	0	100	0	0	0
Tue Jan 30 20:47:49 GMT+01:00 2018	0	0	0	0	100	0	0	0
Tue Jan 30 20:48:20 GMT+01:00 2018	0	0	0	0	100	0	0	0
Wed Jan 31 08:28:34 GMT+01:00 2018	0	0	0	0	0	100	0	0
Wed Jan 31 08:28:34 GMT+01:00 2018	11	31	11	5	13	0	11	22
Wed Jan 31 08:29:36 GMT+01:00 2018	13	4	13	3	46	0	13	12
Wed Jan 31 08:30:37 GMT+01:00 2018	6	0	0	0	93	0	0	1
Wed Jan 31 08:31:38 GMT+01:00 2018	4	0	0	0	94	0	0	2
Wed Jan 31 08:32:55 GMT+01:00 2018	7	1	4	0	81	0	4	2
Wed Jan 31 08:33:34 GMT+01:00 2018	11	1	5	0	74	0	5	4
Wed Jan 31 08:34:35 GMT+01:00 2018	2	1	3	0	90	0	3	3
Wed Jan 31 08:35:36 GMT+01:00 2018	16	1	2	0	64	0	2	3
Wed Jan 31 08:36:36 GMT+01:00 2018	18	6	8	5	28	0	8	22
Wed Jan 31 08:37:37 GMT+01:00 2018	6	0	1	0	89	0	1	3
Wed Jan 31 08:38:37 GMT+01:00 2018	2	0	1	0	94	0	1	2
Wed Jan 31 08:39:38 GMT+01:00 2018	11	1	6	0	71	0	6	3
Wed Jan 31 08:40:41 GMT+01:00 2018	14	4	16	0	51	0	16	3
Wed Jan 31 08:41:41 GMT+01:00 2018	6	1	4	0	82	0	4	2
Wed Jan 31 08:42:43 GMT+01:00 2018	19	2	23	0	35	0	23	4
Wed Jan 31 08:43:45 GMT+01:00 2018	12	0	2	0	83	0	2	2
Wed Jan 31 08:44:45 GMT+01:00 2018	31	0	2	0	45	0	2	2
Wed Jan 31 08:45:45 GMT+01:00 2018	4	0	2	0	93	0	2	1
Wed Jan 31 08:46:46 GMT+01:00 2018	19	0	1	0	77	0	1	2
Wed Jan 31 08:47:51 GMT+01:00 2018	11	5	6	5	43	0	6	22
Wed Jan 31 08:48:39 GMT+01:00 2018	15	0	2	0	66	0	2	3
Wed Jan 31 08:49:40 GMT+01:00 2018	21	0	2	0	56	0	2	4
Wed Jan 31 08:50:41 GMT+01:00 2018	13	0	1	0	82	0	1	3
Wed Jan 31 08:51:42 GMT+01:00 2018	15	0	1	0	76	0	1	4
Wed Jan 31 08:52:42 GMT+01:00 2018	7	1	3	0	83	0	3	2
Wed Jan 31 08:53:44 GMT+01:00 2018	18	1	4	0	61	0	4	2
Wed Jan 31 08:54:46 GMT+01:00 2018	17	0	2	0	78	0	2	2
Wed Jan 31 08:55:46 GMT+01:00 2018	8	0	1	0	89	0	1	2
Wed Jan 31 08:56:47 GMT+01:00 2018	16	1	3	0	64	0	3	2
Wed Jan 31 09:36:25 GMT+01:00 2018	0	0	0	0	0	100	0	0
Wed Jan 31 09:36:25 GMT+01:00 2018	19	20	10	5	14	0	10	22
Wed Jan 31 09:37:25 GMT+01:00 2018	67	3	3	3	10	0	3	12
Wed Jan 31 09:42:46 GMT+01:00 2018	0	0	0	0	0	100	0	0
Wed Jan 31 09:42:46 GMT+01:00 2018	71	3	3	3	7	0	3	12
Wed Jan 31 09:43:14 GMT+01:00 2018	0	0	0	0	0	100	0	0
Wed Jan 31 09:43:14 GMT+01:00 2018	0	0	0	0	0	100	0	0
Wed Jan 31 09:43:22 GMT+01:00 2018	0	0	0	0	0	100	0	0
Wed Jan 31 09:43:22 GMT+01:00 2018	57	3	5	3	15	0	5	12
Wed Jan 31 09:43:27 GMT+01:00 2018	45	6	6	5	10	0	6	22
Wed Jan 31 09:43:59 GMT+01:00 2018	11	8	15	8	18	0	15	31
Wed Jan 31 09:44:30 GMT+01:00 2018	13	9	10	8	22	0	10	30
Wed Jan 31 09:44:57 GMT+01:00 2018	10	10	10	10	10	0	10	40
Wed Jan 31 09:53:28 GMT+01:00 2018	0	0	0	0	0	100	0	0
Wed Jan 31 09:53:28 GMT+01:00 2018	5	5	54	5	5	0	54	21
Wed Jan 31 09:58:41 GMT+01:00 2018	0	0	0	0	0	100	0	0
Wed Jan 31 09:58:41 GMT+01:00 2018	15	8	11	7	20	0	11	27
Wed Jan 31 10:34:59 GMT+01:00 2018	0	0	0	0	0	100	0	0
Wed Jan 31 10:34:59 GMT+01:00 2018	0	0	96	2	0	0	96	2
Wed Jan 31 10:38:39 GMT+01:00 2018	4	1	3	0	91	0	3	1
Wed Jan 31 10:38:53 GMT+01:00 2018	5	5	5	5	55	0	5	20
Wed Jan 31 10:39:58 GMT+01:00 2018	0	0	0	0	100	0	0	0
Wed Jan 31 10:40:59 GMT+01:00 2018	0	0	0	0	100	0	0	0
